character1,character2,lyric,song,act
LAURENS,MULLIGAN,What?,Right Hand Man,1
LAFAYETTE,MULLIGAN,What?,Right Hand Man,1
HAMILTON,BURR,Hey hey hey hey,A Winters Ball,1
HAMILTON,LAURENS,Hey hey hey hey,A Winters Ball,1
BURR,LAURENS,Hey hey hey hey,A Winters Ball,1
MULLIGAN,LAFAYETTE,I may not live to see our glory!,"Story of Tonight, Reprise",1
MULLIGAN,LAFAYETTE,I've seen wonders great and small,"Story of Tonight, Reprise",1
MULLIGAN,LAFAYETTE,If Alexander can get married-,"Story of Tonight, Reprise",1
LAURENS,MULLIGAN,Hey!,"Story of Tonight, Reprise",1
LAURENS,MULLIGAN,Something you will never see again!,"Story of Tonight, Reprise",1
LAFAYETTE,HAMILTON,Ho!,"Story of Tonight, Reprise",1
LAURENS,LAFAYETTE,Woo!,"Story of Tonight, Reprise",1
LAURENS,HAMILTON,Woo!,"Story of Tonight, Reprise",1
LAFAYETTE,HAMILTON,Woo!,"Story of Tonight, Reprise",1
MULLIGAN,LAFAYETTE,Burr!,"Story of Tonight, Reprise",1
ELIZA,ANGELICA,Stay alive...,Stay Alive,1
HAMILTON,LAURENS,Raise a glass!,Stay Alive,1
HAMILTON,LAFAYETTE,Raise a glass!,Stay Alive,1
LAURENS,LAFAYETTE,Raise a glass!,Stay Alive,1
ELIZA,ANGELICA,Stay alive...,Stay Alive,1
HAMILTON,LAURENS,He shits the bed at the Battle of Monmouth,Stay Alive,1
HAMILTON,LAFAYETTE,He shits the bed at the Battle of Monmouth,Stay Alive,1
LAURENS,LAFAYETTE,He shits the bed at the Battle of Monmouth,Stay Alive,1
